System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:46:53:356, 320039683476916,    0.112,    0.000, 4300,   4.129,   0.462,   0.128,   1.321,   0.148,   0.041, 54,  0,   0.657,   0.073,   0.020,  45.000, 107.000, 163.000,   0.000,   0.000
13:46:53:463, 320039963136152,    0.220,    1.000, 4300,   6.483,   1.162,   0.323,   3.714,   0.549,   0.152, 54,  0,   0.707,   0.150,   0.042,  45.000, 107.000, 163.000,   0.000,   0.000
13:46:53:574, 320040249399853,    0.330,    1.000, 4300,   7.583,   1.999,   0.555,   4.748,   1.073,   0.298, 54,  0,   0.715,   0.229,   0.064,  45.000, 107.000, 163.000,   0.000,   0.000
13:46:53:678, 320040519109552,    0.434,    1.000, 4300,   6.534,   2.679,   0.744,   3.759,   1.464,   0.407, 53,  0,   0.703,   0.302,   0.084,  45.000, 107.000, 163.000,   0.000,   0.000
13:46:53:783, 320040790977261,    0.539,    1.000, 4300,   8.167,   3.536,   0.982,   5.302,   2.020,   0.561, 54,  0,   0.718,   0.377,   0.105,  45.000, 107.000, 163.000,   0.000,   0.000
13:46:53:889, 320041066320171,    0.645,    2.000, 4300,   9.865,   4.583,   1.273,   6.932,   2.757,   0.766, 54,  0,   0.748,   0.457,   0.127,  45.000, 107.000, 163.000,   0.000,   0.000
13:46:53:994, 320041338718032,    0.751,   19.000, 4200,  26.926,   7.413,   2.059,  24.055,   5.285,   1.468, 82,  0,   0.867,   0.548,   0.152,  45.000, 107.000, 163.000,   0.000,   0.000
13:46:54:199, 320041870652881,    0.956,   10.000, 4000,  28.435,  13.249,   3.680,  25.327,  10.482,   2.912, 99,  0,   0.810,   0.714,   0.198,  45.000, 107.000, 163.000,   0.000,   0.000
13:46:54:293, 320042112333439,    1.049,  110.000, 4200,  23.322,  15.423,   4.284,  20.002,  12.347,   3.430, 92,  0,   0.870,   0.795,   0.221,  45.000, 107.000, 163.000,   0.000,   0.000

Total Elapsed Time (sec) = 1.048967
Measured RDTSC Frequency (GHz) = 2.592

Cumulative Processor Energy_0 (Joules) = 15.423340
Cumulative Processor Energy_0 (mWh) = 4.284261
Average Processor Power_0 (Watt) = 14.703367

Cumulative IA Energy_0 (Joules) = 12.347229
Cumulative IA Energy_0 (mWh) = 3.429786
Average IA Power_0 (Watt) = 11.770851

Cumulative DRAM Energy_0 (Joules) = 0.794983
Cumulative DRAM Energy_0 (mWh) = 0.220829
Average DRAM Power_0 (Watt) = 0.757873
