Model,Accuracy,Precision,Recall,F1_Score,MCC,Kappa,ROC_AUC,PR_AUC,Specificity,FPR,CV_Accuracy_Mean,CV_Accuracy_Std,CV_MCC_Mean,CV_MCC_Std,Optimal_Threshold,Default_Threshold_Accuracy,Threshold_Improvement,Train_Accuracy,Test_Accuracy,Generalization_Gap_Acc,Train_MCC,Test_MCC,Generalization_Gap_MCC,CV_Time,Training_Time,Inference_Time_Sec,Latency_ms,Latency_p95_ms,Latency_p99_ms,Total_Time,Training_CO2_kg,Training_Energy_kWh,Energy_per_1000_train_Wh,Inference_CO2_kg,Inference_Energy_kWh,Energy_per_1000_pred_Wh,CO2_per_1M_pred_kg,CEF_kg_per_kWh,CEF_gCO2_per_kWh,GPU_Used,RAM_Peak_MB,RAM_Inference_MB,CPU_Utilization_%,GPU_Memory_Peak_MB,Model_Size_MB,Parameters_Count,Category,Model_Format,Training_Samples,Test_Samples,Feature_Count_or_Vocab,Random_Seed,Dataset_Name,Timestamp
LightGBM,0.9787234042553191,0.916030534351145,0.916030534351145,0.916030534351145,0.9038489175183654,0.9038489175183654,0.9872519929328025,0.9694315161633668,0.9878183831672204,0.01218161683277963,0.9801692865779927,0.0038694074969770407,0.9091041083096592,0.01764528570101335,0.35909090909090907,0.9816247582205029,-0.0029013539651837617,0.9939540507859734,0.9787234042553191,0.015230646530654313,0.972380834129566,0.9038489175183654,0.06853191661120062,29.963344300000244,0.17822440000054485,104.95024490001015,101.49926972921678,204.18035999973654,214.43305900082123,135.09181360001094,2.950263049273641e-06,6.350305539283665e-06,0.0015357449913624341,0.00034368930940764506,0.0007397754331978257,0.7154501288180133,0.3323881135470455,0.465,465,True,632.7109375,0.01171875,0.0,417.0,1.1108131408691406,100,Ensemble,pkl,4135,1034,57376,42,SMS_Spam,2026-04-30 17:49:33
DistilBERT,0.9912959381044487,1.0,0.9312977099236641,0.9644268774703557,0.9602641678188277,0.959475348156664,0.9983261900535112,0.9933948142673364,1.0,0.0,0.988875453446191,0.0033684131262839527,0.9501264104954827,0.014471624977901325,0.9306060606060605,0.9941972920696325,-0.0029013539651837617,0.9968561064087061,0.9912959381044487,0.005560168304257429,0.9856976486756883,0.9602641678188277,0.02543348085686059,721.0332659999985,171.30126970000128,70.81283059998168,68.48436228238073,86.26402999925631,91.86608200172486,963.1473662999815,0.0019487261165281235,0.004194543349408126,1.014399842662183,0.0002911242879061478,0.0006266316417329575,0.6060267328171735,0.2815515356925994,0.465,465,True,1677.53125,291.2265625,0.0,4563.0,255.53929233551025,66955010,Deep Learning,tf_savedmodel,4135,1034,30522,42,SMS_Spam,2026-04-30 18:12:31
CNN,0.9700193423597679,0.890625,0.8702290076335878,0.8803088803088803,0.863250648192509,0.8631749690528023,0.9830928288233454,0.9588241157702526,0.9844961240310077,0.015503875968992276,0.973639661426844,0.005152908283594328,0.8868160663023238,0.019121624326969542,0.8712121212121212,0.9613152804642167,0.008704061895551285,0.9958887545344619,0.9700193423597679,0.025869412174693962,0.9813797074275064,0.863250648192509,0.11812905923499739,27.51726200000121,5.897887399998581,43.06595790004212,41.649862572574584,45.46172000227671,54.32192599946572,76.48110730004191,5.109343011581618e-05,0.00010997625868152759,0.026596434989486724,0.00016466659625659051,0.0003544372758899117,0.3427826652707076,0.15925202732745697,0.465,465,True,2113.63671875,0.0,1.3,4571.0,4.2566375732421875,1109377,Deep Learning,keras,4135,1034,10000,42,SMS_Spam,2026-04-30 18:14:53
LSTM,0.9864603481624759,0.9915966386554622,0.9007633587786259,0.944,0.93771733916801,0.9363194059527894,0.9870998283922126,0.9687647937591924,0.9988925802879292,0.001107419712070845,0.9842805320435308,0.0032445968234579483,0.9281647648327102,0.014914922434086283,0.693030303030303,0.9864603481624759,0.0,0.9992744860943168,0.9864603481624759,0.012814137931840941,0.9967091720004787,0.93771733916801,0.05899183283246867,119.97885170000154,29.889501099998597,56.082222899967746,54.23812659571349,59.34485999787284,72.12653199981993,205.95057569996789,0.00022420824306863772,0.0004825979325004148,0.11671050362766984,0.00019981136647132864,0.0004300847775682622,0.41594272492094986,0.19324116680012443,0.465,465,True,2118.47265625,256.1640625,0.0,4586.0,4.396873474121094,1142721,Deep Learning,keras,4135,1034,10000,42,SMS_Spam,2026-04-30 18:19:20
CNN,0.9700193423597679,0.9807692307692307,0.7786259541984732,0.8680851063829788,0.8586439673272734,0.8514243865357696,0.9767145984969525,0.9543799557423636,0.9977851605758582,0.0022148394241418012,0.9741233373639663,0.006780094688694652,0.8888098417953249,0.026943288864085136,0.9603030303030302,0.9787234042553191,-0.008704061895551174,0.9970979443772672,0.9700193423597679,0.02707860201749923,0.9867967197039418,0.8586439673272734,0.12815275237666834,28.941172700000607,6.242517000002408,43.977340200010076,42.53127678917802,47.504764999939646,63.24831300113116,79.16102990001309,4.5399873318977746e-05,9.772113950695403e-05,0.023632681863834108,0.0001606747811860055,0.0003458450775227956,0.33447299567001504,0.15539147116634963,0.465,465,True,2180.640625,133.67578125,0.0,4592.0,4.2566375732421875,1109377,Deep Learning,keras,4135,1034,10000,42,SMS_Spam,2026-04-30 18:21:20
LR,0.9825918762088974,0.924812030075188,0.9389312977099237,0.9318181818181818,0.921875774708007,0.921841011212363,0.9910687868259321,0.966637322412859,0.9889258028792912,0.011074197120708784,0.9821039903264811,0.0031900619004287495,0.9184083228201751,0.01501209075659926,0.0590909090909091,0.9835589941972921,-0.0009671179883946612,1.0,0.9825918762088974,0.01740812379110257,1.0,0.921875774708007,0.07812422529199303,4.794111999999586,0.06594549999863375,0.2933493000782619,0.28370338498864783,0.29643499929079553,0.334572000974731,5.153406800076482,2.6121144606047607e-06,5.622456252673909e-06,0.001359723398470111,3.2731942257230464e-06,7.045400045896877e-06,0.006813733119822899,0.003165565015206041,0.465,465,True,2295.01953125,0.00390625,0.0,4588.0,0.4385671615600586,57376,Classical,pkl,4135,1034,57376,42,SMS_Spam,2026-04-30 18:22:18
NaiveBayes,0.9835589941972921,0.9453125,0.9236641221374046,0.9343629343629344,0.9250480152813385,0.9249669185128271,0.984086125129974,0.967977125947947,0.9922480620155039,0.007751937984496138,0.9574365175332528,0.007149574606575315,0.8359125219719339,0.022976373525710036,0.95,0.9642166344294004,0.01934235976789167,0.9992744860943168,0.9835589941972921,0.015715491897024703,0.9967145600452623,0.9250480152813385,0.07166654476392376,0.17758580000008806,0.0028757000000041444,0.3796282000002975,0.3671452611221446,0.47972500105970506,0.6271759986339015,0.5600897000003897,2.412248839763168e-06,5.192254695068659e-06,0.0012556843277070518,3.6774550153667614e-06,7.91555280479128e-06,0.007655273505600851,0.0035565328968730765,0.465,465,True,2295.578125,0.01171875,1.2,4595.0,1.7517309188842773,114752,Classical,pkl,4135,1034,57376,42,SMS_Spam,2026-04-30 18:22:55
SVM,0.9806576402321083,0.9111111111111111,0.9389312977099237,0.924812030075188,0.9138522120869035,0.9137161310780477,0.9934611515474289,0.9697898273846591,0.9867109634551495,0.013289036544850474,0.9825876662636034,0.0034710278341976617,0.9216171209954727,0.016057450332926222,0.17727272727272725,0.9835589941972921,-0.0029013539651837617,1.0,0.9806576402321083,0.01934235976789167,1.0,0.9138522120869035,0.08614778791309652,19.238943599997583,2.0083874000010837,0.8034169001075497,0.776998936274226,0.8797399999821209,0.9696020003320882,22.050747900106217,8.437438638266e-06,1.81611986548583e-05,0.004392067389324861,4.785477061517472e-06,1.030051930432142e-05,0.009961817509014913,0.0046281209492432035,0.465,465,True,2317.40625,0.02734375,0.0,4585.0,0.34395885467529297,859,Classical,pkl,4135,1034,57376,42,SMS_Spam,2026-04-30 18:23:49
GRU,0.9864603481624759,1.0,0.8931297709923665,0.9435483870967742,0.9378135219592337,0.9358839213740932,0.9897035327534174,0.9749469124253454,1.0,0.0,0.9779927448609431,0.0036994095624615204,0.8997707796020157,0.017015127499590856,0.693030303030303,0.9854932301740812,0.0009671179883946612,0.9970979443772672,0.9864603481624759,0.010637596214791323,0.9868016354208597,0.9378135219592337,0.048988113461626015,108.12231299999985,22.759862200000498,56.48301000006177,54.62573500973092,60.64669500010494,74.40372300057786,187.36518520006211,0.00014343888382425523,0.0003087456010819423,0.07466640896782159,0.00020084688032046138,0.0004323136735081586,0.41809833027868337,0.1942426308708524,0.465,465,True,2050.62890625,233.32421875,1.2,4593.0,4.266014099121094,1108289,Deep Learning,keras,4135,1034,10000,42,SMS_Spam,2026-04-30 18:28:26
CNN,0.9796905222437138,0.9583333333333334,0.8778625954198473,0.9163346613545816,0.9059294304418282,0.9048024060255859,0.9791788186959499,0.9566567241883166,0.9944629014396457,0.0055370985603543366,0.9741233373639663,0.004366498206836215,0.8882409926313801,0.01739203740701713,0.9009090909090909,0.97678916827853,0.0029013539651837617,0.9973397823458283,0.9796905222437138,0.01764926010211454,0.9879169717259845,0.9059294304418282,0.0819875412841563,28.408777599997848,6.8562815000004775,42.42866429993592,41.03352446802313,44.28188999881968,48.134927000974116,77.69372339993424,5.354174755646321e-05,0.00011524614938130553,0.027870894650859863,0.0001417956899461766,0.0003052087018252306,0.29517282574973946,0.13713316242376847,0.465,465,True,2307.80078125,97.46484375,8.5,4594.0,4.2566375732421875,1109377,Deep Learning,keras,4135,1034,10000,42,SMS_Spam,2026-04-30 18:30:39
